11Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%
613,Chris Phillips\phillch02,32,OTT,D,82,1,8,9,-35,32,0.9,1,0,0,0,7,1,0,81,1.2,1765,21:31,152,116,0,0,
614,Alexandre Picard\picaral01,25,MTL,D,43,3,5,8,0,17,2.1,1,2,0,1,5,0,0,49,6.1,706,16:26,59,55,0,0,
615,Alex Pietrangelo\pietral01,21,STL,D,79,11,32,43,18,19,8.9,7,4,0,1,21,10,1,161,6.8,1738,22:00,121,57,0,0,
616,Brandon Pirri\pirribr01,19,CHI,C,1,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,1,0.0,9,8:56,1,0,2,4,33.3
617,Fernando Pisani\pisanfe01,34,CHI,RW,60,7,9,16,0,10,1.1,6,1,0,1,9,0,0,72,9.7,754,12:34,21,69,34,32,51.5
618,Joni Pitkanen\pitkajo01,27,CAR,D,72,5,30,35,-2,60,5.8,4,1,0,1,19,11,0,144,3.5,1802,25:01,129,64,0,0,
619,Alex Plante\plantal01,21,EDM,D,3,0,0,0,-2,11,-0.1,0,0,0,0,0,0,0,5,0.0,45,15:03,3,4,0,0,
620,Tomas Plekanec\plekato01,28,MTL,C,77,22,35,57,8,60,6.5,18,3,1,4,19,15,1,227,9.7,1559,20:15,45,53,788,789,50.0
621,Roman Polak\polakro01,24,STL,D,55,3,9,12,-4,33,2.2,3,0,0,1,9,0,0,54,5.6,1098,19:57,78,110,0,1,0.0
622,Jason Pominville\pominja01,28,BUF,RW,73,22,30,52,1,15,5.8,16,5,1,2,21,9,0,215,10.2,1325,18:09,50,35,67,88,43.2
623,Alexei Ponikarovsky\ponikal01,30,LAK,LW,61,5,10,15,1,36,1.0,4,1,0,1,8,2,0,94,5.3,769,12:36,28,139,1,4,20.0
624,Chris Porter\portech01,26,STL,C,45,3,4,7,-4,16,0.1,3,0,0,1,4,0,0,55,5.5,467,10:23,5,91,12,10,54.5
625,Kevin Porter\porteke01,24,COL,RW,74,14,11,25,-11,27,1.8,13,1,0,3,10,1,0,102,13.7,1023,13:49,29,126,19,39,32.8
626,Paul Postma\postmpa01,21,ATL,D,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,10,9:55,2,1,0,0,
627,Tom Poti\potito01,33,WSH,D,21,2,5,7,-4,8,1.1,2,0,0,0,4,1,0,20,10.0,386,18:22,27,7,0,0,
628,Corey Potter\potteco01,27,PIT,D,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,17,16:43,2,1,0,0,
629,Ryan Potulny\potulry01,26,TOT,C,10,0,0,0,-1,0,-0.2,0,0,0,0,0,0,0,7,0.0,79,7:54,1,5,10,16,38.5
629,Ryan Potulny\potulry01,26,OTT,C,7,0,0,0,0,0,-0.1,0,0,0,0,0,0,0,5,0.0,49,6:57,0,2,0,0,
629,Ryan Potulny\potulry01,26,CHI,C,3,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,2,0.0,30,10:07,1,3,10,16,38.5
630,Benoit Pouliot\poulibe01,24,MTL,LW,79,13,17,30,2,87,3.4,12,1,0,4,17,0,0,129,10.1,911,11:32,20,110,10,12,45.5
631,Marc Pouliot\poulima01,25,TBL,C,3,0,0,0,-2,0,-0.1,0,0,0,0,0,0,0,2,0.0,32,10:46,0,2,5,8,38.5
632,Darroll Powe\poweda01,25,PHI,C,81,7,10,17,-6,41,0.3,5,0,2,2,9,0,1,87,8.0,995,12:17,60,196,66,68,49.3
633,Chris Pronger*\prongch01,36,PHI,D,50,4,21,25,7,44,4.2,1,3,0,1,9,11,1,112,3.6,1125,22:30,114,41,0,0,
634,Vinny Prospal\prospva01,35,NYR,C,29,9,14,23,4,8,3.0,7,2,0,0,6,8,0,61,14.8,445,15:20,15,44,69,59,53.9
635,Nate Prosser\prossna01,24,MIN,D,2,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,30,14:48,2,0,0,0,
636,Petr Prucha\pruchpe01,28,PHX,C,11,0,1,1,0,4,-0.1,0,0,0,0,1,0,0,10,0.0,126,11:28,3,13,3,2,60.0
637,Brandon Prust\prustbr01,26,NYR,LW,82,13,16,29,2,160,2.9,8,0,5,1,13,1,2,87,14.9,1133,13:49,36,161,4,5,44.4
638,Teddy Purcell\purcete01,25,TBL,RW,81,17,34,51,5,10,5.7,14,3,0,1,16,18,0,196,8.7,1142,14:06,16,21,12,25,32.4
639,Taylor Pyatt\pyattta01,29,PHX,LW,76,18,13,31,11,27,3.5,16,2,0,6,11,2,0,126,14.3,1178,15:30,48,143,6,14,30.0
640,Tom Pyatt\pyattto01,23,MTL,C,61,2,5,7,-1,9,-0.1,2,0,0,0,3,0,2,65,3.1,649,10:38,34,39,55,55,50.0
641,Kyle Quincey\quincky01,25,COL,D,21,0,1,1,-5,18,0.0,0,0,0,0,1,0,0,39,0.0,411,19:35,26,28,0,0,
642,Brian Rafalski\rafalbr01,37,DET,D,63,4,44,48,11,22,7.4,4,0,0,0,27,17,0,106,3.8,1287,20:25,54,49,0,0,
643,Rhett Rakhshani\rakhsrh01,22,NYI,RW,2,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,2,0.0,23,11:43,0,0,0,0,
644,Mason Raymond\raymoma01,25,VAN,LW,70,15,24,39,8,10,4.2,12,2,1,5,20,4,0,197,7.6,1106,15:48,14,38,26,39,40.0
645,Marty Reasoner\reasoma01,33,FLA,C,82,14,18,32,2,22,2.9,14,0,0,4,17,1,0,124,11.3,1407,17:10,57,71,700,584,54.5
646,Ryan Reaves\reavery01,24,STL,RW,28,2,2,4,-1,78,0.3,2,0,0,1,2,0,0,16,12.5,191,6:48,9,86,0,2,0.0
647,Mark Recchi*\recchma01,42,BOS,RW,81,14,34,48,13,35,4.8,8,6,0,6,22,11,1,132,10.6,1304,16:06,25,81,52,45,53.6
648,Liam Reddox\reddoli01,25,EDM,LW,44,1,9,10,-8,20,-0.3,1,0,0,0,8,0,1,85,1.2,660,15:00,24,76,41,83,33.1
649,Dylan Reese\reesedy01,26,NYI,D,27,0,6,6,-12,15,0.0,0,0,0,0,6,0,0,23,0.0,400,14:49,22,17,0,0,
650,Robyn Regehr\regehro01,30,CGY,D,79,2,15,17,2,58,3.6,1,1,0,0,13,1,1,72,2.8,1697,21:29,142,180,0,0,
651,Peter Regin\reginpe01,24,OTT,C,55,3,14,17,-4,12,1.0,3,0,0,1,12,2,0,87,3.4,736,13:23,20,30,132,184,41.8
652,Steve Reinprecht\reinpst01,34,FLA,C,29,4,6,10,-2,6,0.9,3,1,0,1,6,0,0,31,12.9,341,11:46,14,20,89,83,51.7
653,Michal Repik\repikmi01,22,FLA,RW,31,2,6,8,-6,22,0.2,2,0,0,0,5,1,0,54,3.7,396,12:47,8,47,3,4,42.9
654,Mike Ribeiro\ribeimi01,30,DAL,C,82,19,52,71,-4,28,7.0,12,7,0,4,36,16,0,161,11.8,1637,19:58,33,95,565,648,46.6
655,Brad Richards\richabr01,30,DAL,C,72,28,49,77,1,24,9.0,21,7,0,3,27,22,0,272,10.3,1564,21:43,22,20,501,489,50.6
656,Mike Richards\richami02,25,PHI,C,81,23,43,66,11,62,7.2,15,5,3,4,24,16,3,184,12.5,1529,18:53,73,104,606,610,49.8
657,Brad Richardson\richabr02,25,LAK,RW,68,7,12,19,-13,47,1.1,6,0,1,1,12,0,0,103,6.8,800,11:46,11,84,92,89,50.8
658,Patrick Rissmiller\rissmpa01,32,TOT,C,10,0,1,1,-1,0,-0.1,0,0,0,0,1,0,0,14,0.0,104,10:22,2,17,2,2,50.0
658,Patrick Rissmiller\rissmpa01,32,FLA,C,9,0,1,1,0,0,0.0,0,0,0,0,1,0,0,12,0.0,91,10:04,2,15,1,0,100.0
658,Patrick Rissmiller\rissmpa01,32,ATL,C,1,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,2,0.0,13,13:07,0,2,1,2,33.3
659,Mattias Ritola\ritolma01,23,TBL,C,31,4,4,8,-5,11,0.6,4,0,0,2,4,0,0,42,9.5,312,10:04,7,24,19,25,43.2
660,Craig Rivet\rivetcr01,36,TOT,D,37,2,2,4,-12,35,0.1,2,0,0,0,2,0,0,33,6.1,543,14:41,36,31,0,0,
660,Craig Rivet\rivetcr01,36,BUF,D,23,1,2,3,-5,12,0.2,1,0,0,0,2,0,0,20,5.0,300,13:02,18,19,0,0,
660,Craig Rivet\rivetcr01,36,CBJ,D,14,1,0,1,-7,23,-0.2,1,0,0,0,0,0,0,13,7.7,243,17:22,18,12,0,0,
661,Stephane Robidas\robidst01,33,DAL,D,81,5,25,30,-7,67,5.1,4,1,0,1,9,14,2,106,4.7,1987,24:32,135,216,0,0,
662,Bryan Rodney\rodnebr01,26,CAR,D,3,0,0,0,0,2,0.0,0,0,0,0,0,0,0,3,0.0,26,8:44,4,0,0,0,
663,Brian Rolston\rolstbr01,37,NJD,C,65,14,20,34,-6,34,3.7,8,6,0,4,14,5,1,168,8.3,1144,17:36,20,67,52,83,38.5
664,Aaron Rome\romeaa01,27,VAN,D,56,1,4,5,1,53,1.7,1,0,0,0,2,2,0,50,2.0,975,17:25,59,78,0,0,
665,Jay Rosehill\rosehja01,25,TOR,D,26,1,2,3,-6,71,0.1,1,0,0,0,2,0,0,12,8.3,135,5:12,4,36,0,0,
666,Derek Roy\royde01,27,BUF,C,35,10,25,35,-1,16,3.7,8,2,0,1,13,12,0,89,11.2,684,19:32,16,16,245,283,46.4
667,Mathieu Roy\royma01,27,TBL,D,4,0,0,0,-2,2,-0.1,0,0,0,0,0,0,0,1,0.0,19,4:43,1,4,0,0,
668,Michal Rozsival\rozsimi01,32,TOT,D,65,6,15,21,6,42,4.7,4,2,0,3,9,6,0,55,10.9,1365,21:00,108,100,0,0,
668,Michal Rozsival\rozsimi01,32,PHX,D,33,3,3,6,3,20,1.6,1,2,0,2,3,0,0,31,9.7,660,19:59,61,55,0,0,
668,Michal Rozsival\rozsimi01,32,NYR,D,32,3,12,15,3,22,3.0,3,0,0,1,6,6,0,24,12.5,705,22:03,47,45,0,0,
669,Mike Rupp\ruppmi01,31,PIT,C,81,9,8,17,-4,124,1.3,9,0,0,1,7,1,0,81,11.1,814,10:03,17,181,82,80,50.6
670,Kris Russell\russekr01,23,CBJ,D,73,5,18,23,-9,37,3.3,4,1,0,0,12,5,1,88,5.7,1279,17:31,128,63,0,0,
671,Jarkko Ruutu\ruutuja01,35,TOT,LW,73,3,9,12,-2,97,0.3,3,0,0,1,8,0,1,66,4.5,830,11:22,29,131,8,12,40.0
671,Jarkko Ruutu\ruutuja01,35,OTT,LW,50,2,8,10,-2,59,0.3,2,0,0,1,7,0,1,46,4.3,624,12:28,24,83,6,9,40.0
671,Jarkko Ruutu\ruutuja01,35,ANA,LW,23,1,1,2,0,38,0.0,1,0,0,0,1,0,0,20,5.0,207,8:59,5,48,2,3,40.0
672,Tuomo Ruutu\ruututu01,27,CAR,C,82,19,38,57,1,54,6.0,12,7,0,1,29,9,0,148,12.8,1380,16:50,38,307,256,369,41.0
673,Bobby Ryan\ryanbo01,23,ANA,RW,82,34,37,71,15,61,9.2,28,5,1,5,32,5,0,270,12.6,1655,20:11,34,156,87,132,39.7
674,Michael Ryder\rydermi01,30,BOS,RW,79,18,23,41,-1,26,4.2,10,8,0,6,17,6,0,165,10.9,1144,14:29,19,70,5,3,62.5
675,Rick Rypien\rypieri01,26,VAN,C,9,0,1,1,-5,31,-0.2,0,0,0,0,1,0,0,6,0.0,46,5:07,3,13,9,5,64.3
676,Ruslan Salei\saleiru01,36,DET,D,75,2,8,10,0,48,2.1,2,0,0,0,8,0,0,75,2.7,1347,17:58,109,117,0,0,
677,Anssi Salmela\salmean01,26,NJD,D,48,1,6,7,-11,14,1.5,1,0,0,1,6,0,0,57,1.8,835,17:24,36,48,0,0,
678,Sami Salo\salosa01,36,VAN,D,27,3,4,7,-3,14,1.4,2,1,0,0,2,2,0,39,7.7,549,20:21,28,6,0,0,
679,Jerome Samson\samsoje01,23,CAR,RW,23,0,2,2,0,0,-0.1,0,0,0,0,2,0,0,28,0.0,158,6:51,3,13,2,1,66.7
680,Sergei Samsonov\samsose01,32,TOT,LW,78,13,27,40,-2,14,3.7,9,4,0,1,18,9,0,123,10.6,1205,15:27,34,56,3,8,27.3
680,Sergei Samsonov\samsose01,32,CAR,LW,58,10,16,26,0,12,2.5,6,4,0,0,11,5,0,87,11.5,821,14:09,25,47,3,3,50.0
680,Sergei Samsonov\samsose01,32,FLA,LW,20,3,11,14,-2,2,1.2,3,0,0,1,7,4,0,36,8.3,385,19:14,9,9,0,5,0.0
681,Mikael Samuelsson\samuemi01,34,VAN,RW,75,18,32,50,8,36,5.5,13,5,0,2,18,14,0,215,8.4,1247,16:38,21,76,9,19,32.1
682,Mike Santorelli\santomi01,25,FLA,C,82,20,21,41,-17,20,3.8,14,5,1,1,14,7,0,193,10.4,1368,16:41,22,60,518,514,50.2
683,Cory Sarich\saricco01,32,CGY,D,76,4,13,17,11,75,4.3,4,0,0,1,13,0,0,75,5.3,1359,17:53,109,175,0,1,0.0
684,Michael Sauer\sauermi01,23,NYR,D,76,3,12,15,20,75,5.2,2,1,0,2,12,0,0,54,5.6,1331,17:31,96,78,0,0,
685,Yann Sauve\sauveya01,20,VAN,D,5,0,0,0,-2,0,-0.1,0,0,0,0,0,0,0,6,0.0,65,13:00,4,9,0,0,
686,Marc Savard\savarma01,33,BOS,C,25,2,8,10,-7,29,0.2,2,0,0,1,4,4,0,50,4.0,395,15:48,4,5,167,161,50.9
687,Raymond Sawada\sawadra01,25,DAL,RW,1,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,1,0.0,6,5:50,0,2,0,0,
688,Luca Sbisa\sbisalu01,21,ANA,D,68,2,9,11,-11,43,1.6,1,1,0,0,7,0,2,76,2.6,1142,16:48,85,170,0,0,
689,Marco Scandella\scandma01,20,MIN,D,20,0,2,2,-9,2,-0.2,0,0,0,0,2,0,0,13,0.0,299,14:58,22,20,0,0,
690,Dave Scatchard\scatcda01,34,STL,C,8,0,1,1,1,6,0.1,0,0,0,0,1,0,0,6,0.0,38,4:45,0,7,12,14,46.2
691,Colton Sceviour\scevico01,21,DAL,C,1,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,0,,5,5:09,0,0,0,0,
692,Peter Schaefer\schaepe01,33,VAN,LW,16,1,1,2,-3,2,-0.1,1,0,0,0,1,0,0,10,10.0,155,9:41,7,18,13,20,39.4
693,Brayden Schenn\schenbr01,19,LAK,C,8,0,2,2,-1,0,0.0,0,0,0,0,2,0,0,11,0.0,90,11:15,1,12,17,34,33.3
694,Luke Schenn\schenlu01,21,TOR,D,82,5,17,22,-7,34,4.2,5,0,0,0,16,0,1,128,3.9,1834,22:22,168,251,0,0,
695,David Schlemko\schleda01,23,PHX,D,43,4,10,14,8,24,3.0,4,0,0,0,5,5,0,47,8.5,690,16:02,57,56,0,0,
696,Rob Schremp\schrero01,24,TOT,C,63,13,13,26,-20,16,1.9,9,4,0,3,10,3,0,83,15.7,885,14:02,21,34,220,255,46.3
696,Rob Schremp\schrero01,24,NYI,C,45,10,12,22,-19,12,1.6,8,2,0,1,9,3,0,64,15.6,677,15:03,16,28,177,191,48.1
696,Rob Schremp\schrero01,24,ATL,C,18,3,1,4,-1,4,0.4,1,2,0,2,1,0,0,19,15.8,208,11:32,5,6,43,64,40.2
697,Jeff Schultz\schulje02,24,WSH,D,72,1,9,10,6,12,3.4,1,0,0,1,7,0,2,34,2.9,1424,19:47,135,52,0,0,
698,Nick Schultz\schulni01,28,MIN,D,74,3,14,17,-4,38,3.8,3,0,0,0,12,1,1,46,6.5,1496,20:13,132,78,1,0,100.0
699,John Scott\scottjo01,28,CHI,D,40,0,1,1,0,72,0.3,0,0,0,0,1,0,0,15,0.0,250,6:15,10,60,0,3,0.0
700,Rob Scuderi\scudero01,32,LAK,D,82,2,13,15,1,16,4.4,2,0,0,1,13,0,0,46,4.3,1664,20:17,122,64,0,0,
701,Brent Seabrook\seabrbr01,25,CHI,D,82,9,39,48,0,47,7.7,4,5,0,1,22,15,2,135,6.7,2000,24:23,154,227,0,0,
702,Daniel Sedin\sedinda01,30,VAN,LW,82,41,63,104,30,32,14.3,23,18,0,10,39,24,0,266,15.4,1521,18:33,12,13,4,13,23.5
703,Henrik Sedin\sedinhe01,30,VAN,C,82,19,75,94,26,40,10.5,11,8,0,4,48,27,0,157,12.1,1579,19:16,21,15,721,666,52.0
704,Brandon Segal\segalbr01,27,DAL,RW,46,5,5,10,0,41,1.0,5,0,0,1,5,0,0,40,12.5,381,8:17,8,91,2,2,50.0
705,Tyler Seguin\seguity01,19,BOS,C,74,11,11,22,-4,18,1.7,10,1,0,0,9,2,0,131,8.4,904,12:13,21,20,150,153,49.5
706,Dennis Seidenberg\seidede01,29,BOS,D,81,7,25,32,3,41,5.3,6,1,0,2,15,10,0,166,4.2,1907,23:33,174,161,0,0,
707,Andrej Sekera\sekeran01,24,BUF,D,76,3,26,29,11,34,5.6,3,0,0,0,20,6,0,88,3.4,1603,21:06,85,61,0,0,
708,Teemu Selanne*\selante01,40,ANA,RW,73,31,49,80,6,49,10.0,15,16,0,5,31,18,0,213,14.6,1310,17:56,20,15,97,121,44.5
709,Alexander Semin\seminal01,26,WSH,LW,65,28,26,54,22,71,8.0,21,6,1,4,14,12,0,196,14.3,1175,18:04,6,27,4,8,33.3
710,Tim Sestito\sestiti01,26,NJD,LW,36,0,2,2,-5,9,-0.5,0,0,0,0,2,0,0,22,0.0,390,10:49,14,79,116,137,45.8
711,Tom Sestito\sestito01,23,CBJ,LW,9,2,2,4,-4,40,0.3,1,1,0,0,1,1,0,7,28.6,86,9:32,3,31,1,0,100.0
712,Devin Setoguchi\setogde01,24,SJS,RW,72,22,19,41,-2,37,4.8,18,4,0,5,13,6,0,199,11.1,1095,15:12,25,138,5,6,45.5
713,Dan Sexton\sextoda01,23,ANA,RW,47,4,9,13,-6,4,0.6,3,1,0,0,9,0,0,78,5.1,545,11:35,20,29,1,3,25.0
714,Ryan Shannon\shannry01,27,OTT,RW,79,11,16,27,3,24,2.8,5,5,1,1,12,4,0,118,9.3,1021,12:56,35,34,87,120,42.0
715,Patrick Sharp\sharppa01,29,CHI,C,74,34,37,71,-1,38,8.8,20,12,2,6,22,14,1,268,12.7,1437,19:25,26,76,244,264,48.0
716,Kevin Shattenkirk\shattke01,22,TOT,D,72,9,34,43,-4,36,6.5,6,3,0,2,22,12,0,108,8.3,1429,19:50,96,66,0,0,
716,Kevin Shattenkirk\shattke01,22,COL,D,46,7,19,26,-11,20,3.3,5,2,0,1,11,8,0,67,10.4,913,19:50,64,51,0,0,
716,Kevin Shattenkirk\shattke01,22,STL,D,26,2,15,17,7,16,3.1,1,1,0,1,11,4,0,41,4.9,516,19:51,32,15,0,0,
717,Jody Shelley\shelljo01,34,PHI,LW,58,2,2,4,0,127,-0.1,2,0,0,0,2,0,0,31,6.5,359,6:11,15,96,2,2,50.0
718,Sergei Shirokov\shirose01,24,VAN,LW,2,1,0,1,1,0,0.2,1,0,0,0,0,0,0,6,16.7,21,10:18,0,1,0,0,
719,Jon Sim\simjo01,33,NYI,LW,34,1,3,4,-10,22,-0.5,1,0,0,0,2,1,0,38,2.6,388,11:24,12,53,4,5,44.4
720,Wayne Simmonds\simmowa01,22,LAK,RW,80,14,16,30,-2,75,3.1,13,1,0,3,16,0,0,117,12.0,1076,13:27,23,125,7,12,36.8
721,Shane Sims\simssh01,22,NYI,D,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,,7,6:34,0,1,0,0,
722,Fredrik Sjostrom\sjostfr01,27,TOR,RW,66,2,3,5,-5,14,-0.8,2,0,0,0,3,0,0,62,3.2,740,11:13,33,108,5,10,33.3
723,Jack Skille\skillja01,23,TOT,RW,62,8,11,19,-9,29,1.3,7,1,0,1,11,0,0,154,5.2,739,11:55,20,134,3,7,30.0
723,Jack Skille\skillja01,23,CHI,RW,49,7,10,17,3,25,1.8,6,1,0,1,10,0,0,121,5.8,526,10:44,8,95,2,2,50.0
723,Jack Skille\skillja01,23,FLA,RW,13,1,1,2,-12,4,-0.5,1,0,0,0,1,0,0,33,3.0,213,16:25,12,39,1,5,16.7
724,Jeff Skinner\skinnje01,18,CAR,RW,82,31,32,63,3,46,8.1,25,6,0,2,20,12,0,215,14.4,1372,16:44,28,70,58,97,37.4
725,Karlis Skrastins\skraska01,36,DAL,D,74,3,5,8,-1,38,2.3,3,0,0,1,4,0,1,30,10.0,1328,17:57,139,55,0,1,0.0
726,Jim Slater\slateji01,28,ATL,C,36,5,7,12,4,19,1.4,5,0,0,1,7,0,0,53,9.4,381,10:35,16,59,183,111,62.2
727,Tyler Sloan\sloanty01,29,WSH,D,33,1,5,6,-6,14,0.8,1,0,0,0,5,0,0,12,8.3,413,12:30,32,29,0,0,
728,Matt Smaby\smabyma01,26,TBL,D,32,0,0,0,2,17,0.4,0,0,0,0,0,0,0,9,0.0,224,6:59,18,45,0,0,
729,Ladislav Smid\smidla01,24,EDM,D,78,0,10,10,-10,85,1.8,0,0,0,0,9,1,0,48,0.0,1582,20:17,118,145,0,0,
730,Ben Smith\smithbe01,22,CHI,RW,6,1,0,1,1,0,0.1,1,0,0,0,0,0,0,6,16.7,83,13:47,5,7,6,2,75.0
731,Derek Smith\smithde05,26,OTT,D,9,0,1,1,3,0,0.6,0,0,0,0,1,0,0,13,0.0,138,15:19,11,5,0,0,
732,Zack Smith\smithza01,22,OTT,C,55,4,5,9,-11,120,-0.1,4,0,0,0,5,0,0,78,5.1,693,12:36,27,129,209,179,53.9
733,Jerred Smithson\smithje01,31,NSH,C,82,5,8,13,-6,34,-0.4,5,0,0,0,8,0,0,73,6.8,1218,14:51,64,162,578,428,57.5
734,Ryan Smyth\smythry01,34,LAK,LW,82,23,24,47,-1,35,5.3,14,9,0,2,19,5,0,195,11.8,1479,18:02,18,25,57,75,43.2
735,Vladimir Sobotka\sobotvl01,23,STL,C,65,7,22,29,-4,69,1.9,5,1,1,0,18,4,0,75,9.3,1052,16:11,37,137,216,203,51.6
736,Brent Sopel\sopelbr01,34,TOT,D,71,2,5,7,6,16,2.6,2,0,0,0,4,1,0,44,4.5,1160,16:21,150,35,0,0,
736,Brent Sopel\sopelbr01,34,ATL,D,59,2,5,7,7,16,2.4,2,0,0,0,4,1,0,40,5.0,970,16:26,128,29,0,0,
736,Brent Sopel\sopelbr01,34,MTL,D,12,0,0,0,-1,0,0.2,0,0,0,0,0,0,0,4,0.0,191,15:54,22,6,0,0,
737,Jaroslav Spacek\spaceja01,36,MTL,D,59,1,15,16,9,45,4.1,1,0,0,0,11,3,1,65,1.5,1135,19:15,90,61,0,0,
738,Nick Spaling\spalini01,22,NSH,C,74,8,6,14,-10,20,0.2,7,1,0,2,6,0,0,75,10.7,1031,13:56,33,37,253,244,50.9
739,Jason Spezza\spezzja01,27,OTT,C,62,21,36,57,-7,28,6.6,14,7,0,2,25,10,1,188,11.2,1252,20:12,24,14,681,529,56.3
740,Jared Spurgeon\spurgja01,21,MIN,D,53,4,8,12,-1,2,2.7,2,2,0,1,4,4,0,38,10.5,799,15:04,45,37,0,0,
741,Martin St. Louis*\stlouma01,35,TBL,RW,82,31,68,99,0,12,11.3,27,4,0,7,31,37,0,254,12.2,1720,20:59,64,37,50,81,38.2
742,Eric Staal\staaler01,26,CAR,C,81,33,43,76,-10,72,8.4,18,12,3,8,26,17,0,296,11.1,1777,21:56,31,80,827,901,47.9
743,Jordan Staal\staaljo01,22,PIT,C,42,11,19,30,7,24,3.3,8,3,0,4,13,4,2,91,12.1,897,21:21,13,70,376,425,46.9
744,Marc Staal\staalma01,24,NYR,D,77,7,22,29,8,50,6.9,1,4,2,2,13,7,2,116,6.0,1982,25:44,109,140,0,0,
745,Drew Stafford\staffdr01,25,BUF,RW,62,31,21,52,13,34,7.8,20,11,0,4,13,8,0,179,17.3,1025,16:32,5,53,17,39,30.4
746,Garrett Stafford\staffga01,31,PHX,D,2,0,0,0,0,0,0.0,0,0,0,0,0,0,0,2,0.0,25,12:24,0,4,0,0,
747,Steve Staios\staiost01,37,CGY,D,39,3,7,10,6,24,2.4,2,0,1,0,7,0,0,23,13.0,574,14:43,48,42,1,0,100.0
748,Matt Stajan\stajama01,27,CGY,C,76,6,25,31,1,32,2.1,5,0,1,0,23,1,1,81,7.4,1081,14:14,24,66,436,409,51.6
749,Viktor Stalberg\stalbvi01,25,CHI,LW,77,12,12,24,2,43,2.5,12,0,0,3,11,1,0,135,8.9,824,10:42,25,102,5,4,55.6
750,Steven Stamkos\stamkst01,20,TBL,C,82,45,46,91,3,74,12.2,28,17,0,8,27,19,0,272,16.5,1656,20:12,37,84,431,496,46.5
751,Tim Stapleton\staplti01,28,ATL,C,45,5,2,7,-10,12,0.0,4,1,0,1,2,0,0,44,11.4,500,11:07,16,16,109,116,48.4
752,Paul Stastny\stastpa01,25,COL,C,74,22,35,57,-7,56,5.6,17,4,1,3,20,15,0,181,12.2,1460,19:44,31,74,810,714,53.1
753,Brad Staubitz\staubbr01,26,MIN,RW,71,4,5,9,-5,173,0.5,4,0,0,1,5,0,0,29,13.8,463,6:31,18,133,0,4,0.0
754,David Steckel\steckda01,28,TOT,C,75,6,6,12,-6,26,0.3,5,0,1,1,6,0,0,79,7.6,891,11:53,49,103,498,305,62.0
754,David Steckel\steckda01,28,WSH,C,57,5,6,11,-3,24,0.5,4,0,1,1,6,0,0,61,8.2,660,11:34,41,87,414,239,63.4
754,David Steckel\steckda01,28,NJD,C,18,1,0,1,-3,2,-0.2,1,0,0,0,0,0,0,18,5.6,231,12:50,8,16,84,66,56.0
755,Alex Steen\steenal01,26,STL,C,72,20,31,51,-3,26,5.3,17,1,2,5,22,9,0,218,9.2,1408,19:33,28,39,41,65,38.7
756,Lee Stempniak\stemple01,27,PHX,RW,82,19,19,38,4,19,4.0,17,2,0,0,15,4,0,199,9.5,1251,15:15,21,124,18,27,40.0
757,Derek Stepan\stepade01,20,NYR,C,82,21,24,45,8,20,5.4,18,3,0,3,17,7,0,166,12.7,1348,16:27,26,83,277,442,38.5
758,Brett Sterling\sterlbr01,26,PIT,LW,7,3,2,5,1,16,0.7,2,1,0,0,1,1,0,14,21.4,106,15:07,0,7,2,1,66.7
759,Anthony Stewart\stewaan01,26,ATL,C,80,14,25,39,-10,55,3.3,9,5,0,2,20,5,0,141,9.9,1198,14:58,35,97,7,11,38.9
760,Chris Stewart\stewach02,23,TOT,RW,62,28,25,53,-6,53,6.7,16,12,0,5,21,4,0,162,17.3,1084,17:29,18,56,13,19,40.6
760,Chris Stewart\stewach02,23,COL,RW,36,13,17,30,-10,38,3.1,8,5,0,3,14,3,0,95,13.7,609,16:56,7,30,2,4,33.3
760,Chris Stewart\stewach02,23,STL,RW,26,15,8,23,4,15,3.6,8,7,0,2,7,1,0,67,22.4,475,18:16,11,26,11,15,42.3
761,Cory Stillman\stillco01,37,TOT,LW,65,12,27,39,5,24,4.0,9,3,0,2,18,9,0,116,10.3,1099,16:55,30,64,17,20,45.9
761,Cory Stillman\stillco01,37,FLA,LW,44,7,16,23,3,20,2.3,6,1,0,1,11,5,0,81,8.6,701,15:56,18,53,11,14,44.0
761,Cory Stillman\stillco01,37,CAR,LW,21,5,11,16,2,4,1.7,3,2,0,1,7,4,0,35,14.3,398,18:58,12,11,6,6,50.0
762,Ryan Stoa\stoary01,23,COL,C,25,2,2,4,-4,20,-0.2,2,0,0,1,0,2,0,45,4.4,334,13:21,6,30,2,3,40.0
