Rk,Year,Player,Age,Tm,GP,GS,W,L,T/O,GA,SA,SV,SV%,GAA,SO,GPS,MIN,QS,QS%,RBS,GA%-,GSAA,G,A,PTS,PIM
20,2015,Devan Dubnyk\dubnyde01,28,ARI,19,16,9,5,2,47,561,514,0.916,2.72,1,3.5,1035,8,0.5,2,98,0.88,0,0,0,0
21,2015,Brian Elliott\elliobr01,29,STL,46,45,26,14,3,96,1150,1054,0.917,2.26,5,7.2,2546,27,0.6,8,98,2.16,0,3,3,0
22,2015,Dan Ellis\ellisda01,34,FLA,8,8,4,3,1,19,221,202,0.914,2.34,1,1.3,486,4,0.5,0,,,0,0,0,0
23,2015,Ray Emery\emeryra01,32,PHI,31,25,10,11,7,80,758,678,0.894,3.06,0,2.7,1570,13,0.52,6,124,-15.3,0,0,0,4
24,2015,Jhonas Enroth\enrotjh01,26,TOT,50,44,18,26,2,145,1504,1359,0.904,3.07,2,7,2834,20,0.455,7,113,-16.63,0,0,0,0
24,2015,Jhonas Enroth\enrotjh01,26,BUF,37,35,13,21,2,120,1237,1117,0.903,3.27,1,5.7,2204,16,0.457,6,114,-14.42,0,0,0,0
24,2015,Jhonas Enroth\enrotjh01,26,DAL,13,9,5,5,0,25,267,242,0.906,2.38,1,1.3,630,4,0.444,1,,,0,0,0,0
25,2015,Viktor Fasth\fasthvi01,32,EDM,26,24,6,15,3,76,681,605,0.888,3.41,0,1.9,1336,9,0.375,9,131,-17.87,0,0,0,0
26,2015,Marc-Andre Fleury\fleurma01,30,PIT,64,64,34,20,9,146,1831,1685,0.92,2.32,10,12.2,3776,35,0.547,6,93,10.28,0,1,1,6
27,2015,Anton Forsberg\forsban01,22,CBJ,5,5,0,4,0,20,149,129,0.866,4.69,0,0,256,0,0,1,,,0,0,0,0
28,2015,John Gibson\gibsojo02,21,ANA,23,21,13,8,0,58,674,616,0.914,2.6,1,4,1340,13,0.619,4,101,-0.47,0,0,0,0
29,2015,Thomas Greiss\greisth01,29,PIT,20,18,9,6,3,50,546,496,0.908,2.59,0,2.9,1159,8,0.444,2,107,-3.4,0,0,0,0
30,2015,Troy Grosenick\grosetr01,25,SJS,2,2,1,1,0,3,58,55,0.948,1.52,1,0.6,118,1,0.5,1,,,0,0,0,0
31,2015,Philipp Grubauer\grubaph01,23,WSH,1,1,1,0,0,2,25,23,0.92,1.85,0,0.2,65,1,1,0,,,0,0,0,0
32,2015,Jonas Gustavsson\gustajo01,30,DET,7,6,3,3,1,15,168,153,0.911,2.56,1,0.9,351,3,0.5,2,,,0,0,0,2
33,2015,Matt Hackett\hackema01,24,BUF,5,4,0,4,1,18,155,137,0.884,4.32,0,0.4,250,1,0.25,1,,,0,0,0,0
34,2015,Jaroslav Halak\halakja01,29,NYI,59,59,38,17,4,144,1673,1529,0.914,2.43,6,9.9,3550,33,0.559,7,101,-1.2,0,1,1,2
35,2015,Andrew Hammond\hammoan01,26,OTT,24,23,20,1,2,42,707,665,0.941,1.79,3,6.5,1411,18,0.783,1,70,18.34,0,1,1,0
36,2015,Jonas Hiller\hillejo01,32,CGY,52,44,26,19,4,113,1376,1263,0.918,2.36,1,8.8,2871,23,0.523,3,96,4.45,0,0,0,0
37,2015,Braden Holtby\holtbbr01,25,WSH,73,72,41,20,10,157,2044,1887,0.923,2.22,9,14.4,4247,43,0.597,7,90,17.46,0,2,2,2
38,2015,Jimmy Howard\howarja02,30,DET,53,50,23,13,11,121,1350,1229,0.91,2.44,2,7.4,2971,26,0.52,8,105,-5.77,0,1,1,2
39,2015,Michael Hutchinson\hutchmi01,24,WPG,38,36,21,10,5,85,986,901,0.914,2.38,2,5.8,2138,19,0.528,7,101,-0.84,0,0,0,0
40,2015,Carter Hutton\huttoca01,29,NSH,18,17,6,7,4,44,450,406,0.902,2.61,1,2,1010,6,0.353,3,115,-5.59,0,0,0,0
41,2015,Chad Johnson\johnsch02,28,NYI,19,17,8,8,1,54,488,434,0.889,3.08,0,1.4,1053,7,0.412,6,130,-12.35,0,0,0,0
42,2015,Martin Jones\jonesma02,25,LAK,15,11,4,5,2,29,307,278,0.906,2.24,3,1.5,775,5,0.455,2,,,0,1,1,0
43,2015,Anton Khudobin\khudoan01,28,CAR,34,32,8,17,6,87,874,787,0.9,2.72,1,3.8,1920,16,0.5,9,117,-12.4,0,0,0,0
44,2015,Keith Kinkaid\kinkake01,25,NJD,19,13,6,5,4,40,469,429,0.915,2.59,0,2.8,925,8,0.615,0,100,0.03,0,0,0,0
45,2015,Darcy Kuemper\kuempda01,24,MIN,31,28,14,12,2,68,718,650,0.905,2.6,3,3.5,1569,15,0.536,7,111,-6.72,0,0,0,0
46,2015,Jason LaBarbera\labarja01,35,ANA,5,2,2,0,1,9,99,90,0.909,2.6,0,0.5,207,2,1,0,,,0,0,0,0
47,2015,Eddie Lack\lacked01,27,VAN,41,35,18,13,4,95,1201,1106,0.921,2.45,2,8.1,2324,18,0.514,5,93,7.51,0,0,0,2
48,2015,Robin Lehner\lehnero01,23,OTT,25,24,9,12,3,74,779,705,0.905,3.02,0,3.8,1471,11,0.458,2,111,-7.51,0,1,1,0
49,2015,Kari Lehtonen\lehtoka01,31,DAL,65,65,34,17,10,181,1875,1694,0.903,2.94,5,8.7,3698,30,0.462,12,113,-20.96,0,3,3,2
50,2015,Anders Lindback\lindban01,26,TOT,26,22,6,16,2,73,798,725,0.909,3.11,0,4.2,1408,8,0.364,3,107,-4.89,0,1,1,4
50,2015,Anders Lindback\lindban01,26,BUF,16,15,4,8,2,41,542,501,0.924,2.76,0,3.9,891,8,0.533,1,89,5.26,0,0,0,4
50,2015,Anders Lindback\lindban01,26,DAL,10,7,2,8,0,32,256,224,0.875,3.71,0,0.3,517,0,0,2,,,0,1,1,0
51,2015,Henrik Lundqvist\lundqhe01,32,NYR,46,46,30,13,3,103,1329,1226,0.922,2.25,5,9.2,2743,29,0.63,4,91,10.43,0,1,1,0
52,2015,Roberto Luongo\luongro01,35,FLA,61,61,28,19,12,138,1743,1605,0.921,2.35,2,11.8,3528,36,0.59,9,93,10.77,0,0,0,0
53,2015,Andrey Makarov\makaran01,21,BUF,1,1,0,1,0,3,36,33,0.917,3,0,0.2,60,1,1,0,,,0,0,0,0
54,2015,Jacob Markstrom\marksja02,25,VAN,3,2,1,1,0,4,33,29,0.879,3.09,0,0.1,78,1,0.5,1,,,0,0,0,0
55,2015,Steve Mason\masonst01,26,PHI,51,48,18,18,11,108,1490,1382,0.928,2.25,3,11.3,2885,29,0.604,4,85,19.18,0,3,3,2
56,2015,Marek Mazanec\mazanma01,23,NSH,2,1,0,1,0,4,47,43,0.915,2.27,0,0.3,106,1,1,0,,,0,0,0,0
57,2015,Thomas McCollum\mccolth01,25,DET,2,0,1,0,0,1,25,24,0.96,0.91,0,0.3,66,0,,0,,,0,0,0,0
58,2015,Curtis McElhinney\mcelhcu01,31,CBJ,32,28,12,14,2,82,949,867,0.914,2.88,0,5.6,1710,12,0.429,2,101,-1,0,0,0,0
59,2015,Mike McKenna\mckenmi01,31,ARI,1,1,0,1,0,5,34,29,0.853,5,0,0,60,0,0,0,,,0,0,0,0
60,2015,Ryan Miller\millery01,34,VAN,45,45,29,15,1,107,1198,1091,0.911,2.53,6,6.6,2542,22,0.489,8,105,-4.75,0,0,0,0
61,2015,Al Montoya\montoal01,29,FLA,20,13,6,7,2,49,453,404,0.892,3.01,0,1.5,977,6,0.462,3,127,-10.33,0,0,0,2
62,2015,Petr Mrazek\mrazepe01,22,DET,29,26,16,9,2,63,768,705,0.918,2.38,3,4.9,1585,15,0.577,6,96,2.55,0,0,0,0
63,2015,Evgeni Nabokov\nabokev01,39,TBL,11,9,3,6,2,29,245,216,0.882,3.14,0,0.5,553,5,0.556,2,,,0,1,1,2
64,2015,Michal Neuvirth\neuvimi01,26,TOT,32,32,7,20,4,92,1067,975,0.914,2.98,0,6.3,1850,16,0.5,4,101,-0.93,0,0,0,0
64,2015,Michal Neuvirth\neuvimi01,26,BUF,27,27,6,17,3,77,941,864,0.918,2.99,0,6.1,1544,15,0.556,3,96,3.32,0,0,0,0
64,2015,Michal Neuvirth\neuvimi01,26,NYI,5,5,1,3,1,15,126,111,0.881,2.94,0,0.2,306,1,0.2,1,,,0,0,0,0
65,2015,Antti Niemi\niemian02,31,SJS,61,61,31,23,7,155,1811,1656,0.914,2.59,5,10.8,3588,32,0.525,9,100,-0.43,0,3,3,0
66,2015,Joni Ortio\ortiojo01,23,CGY,6,6,4,2,0,14,153,139,0.908,2.52,1,0.8,333,3,0.5,2,,,0,0,0,0
67,2015,Ondrej Pavelec\pavelon01,27,WPG,50,46,22,16,8,108,1353,1245,0.92,2.28,5,9,2838,23,0.5,5,94,7.48,0,0,0,2
68,2015,Justin Peters\peterju01,28,WSH,12,9,3,6,1,35,294,259,0.881,3.25,0,0.6,647,1,0.111,3,,,0,0,0,0
69,2015,Calvin Pickard\pickaca01,22,COL,16,13,6,7,3,35,511,476,0.932,2.35,0,4.1,895,9,0.692,1,80,8.62,0,0,0,0
70,2015,Kevin Poulin\poulike01,24,NYI,1,1,0,0,1,3,26,23,0.885,2.77,0,0.1,65,0,0,0,,,0,0,0,0
71,2015,Carey Price\priceca01,27,MTL,66,66,44,16,6,130,1953,1823,0.933,1.96,9,16.2,3977,39,0.591,6,78,36.7,0,1,1,4
72,2015,Jonathan Quick\quickjo01,29,LAK,72,71,36,22,13,156,1896,1740,0.918,2.24,6,12.1,4184,36,0.507,9,96,5.83,0,1,1,18
73,2015,Antti Raanta\raantan01,25,CHI,14,12,7,4,1,25,389,364,0.936,1.89,2,3.3,792,8,0.667,1,75,8.2,0,0,0,0
74,2015,Karri Ramo\ramoka01,28,CGY,34,32,15,9,3,75,852,777,0.912,2.6,2,4.8,1731,14,0.438,5,103,-2.28,0,0,0,0
75,2015,Tuukka Rask\rasktu01,27,BOS,70,67,34,21,13,156,2011,1855,0.922,2.3,3,14,4063,42,0.627,8,91,15.65,0,0,0,8
76,2015,James Reimer\reimeja01,26,TOR,35,27,9,16,1,93,1001,908,0.907,3.16,0,5.1,1767,13,0.481,7,109,-7.56,0,0,0,2
77,2015,Pekka Rinne\rinnepe01,32,NSH,64,64,41,17,6,140,1807,1667,0.923,2.18,4,12.6,3851,43,0.672,7,91,14.23,0,1,1,8
78,2015,Jussi Rynnas\rynnaju01,27,DAL,2,1,0,1,0,7,44,37,0.841,4.54,0,-0.1,92,0,0,1,,,0,0,0,0
79,2015,Cory Schneider\schneco01,28,NJD,69,68,26,31,9,148,1982,1834,0.925,2.26,5,14.5,3924,41,0.603,7,87,21.17,0,2,2,0
80,2015,Ben Scrivens\scrivbe01,28,EDM,57,53,15,26,11,170,1542,1372,0.89,3.16,1,4.6,3228,19,0.358,13,129,-38.39,0,1,1,4
81,2015,Mackenzie Skapski\skapsma01,20,NYR,2,2,2,0,0,1,45,44,0.978,0.5,1,0.6,119,2,1,0,,,0,0,0,0
82,2015,Mike Smith\smithmi01,32,ARI,62,61,14,42,5,187,1955,1768,0.904,3.16,0,9.3,3556,29,0.475,12,112,-20.13,0,1,1,10
83,2015,Alex Stalock\staloal01,27,SJS,22,19,8,9,2,54,553,499,0.902,2.62,2,2.5,1237,10,0.526,1,114,-6.8,0,0,0,2
84,2015,Malcolm Subban\subbama01,21,BOS,1,1,0,1,0,3,6,3,0.5,5.76,0,-0.3,31,0,0,1,,,0,0,0,0
85,2015,Niklas Svedberg\svedbni01,25,BOS,18,14,7,5,1,35,425,390,0.918,2.33,2,2.7,900,9,0.643,2,96,1.28,0,0,0,0
86,2015,Cam Talbot\talboca01,27,NYR,36,34,21,9,4,77,1038,961,0.926,2.21,5,7.6,2095,17,0.5,2,87,11.6,0,0,0,0
87,2015,Dustin Tokarski\tokardu01,25,MTL,17,16,6,6,4,46,509,463,0.91,2.75,0,2.7,1005,8,0.5,1,106,-2.56,0,1,1,0
88,2015,Semyon Varlamov\varlasi01,26,COL,57,57,28,20,8,141,1791,1650,0.921,2.56,5,12.2,3307,33,0.579,6,92,11.87,0,0,0,4
89,2015,Andrei Vasilevskiy\vasilan02,20,TBL,16,13,7,5,1,34,415,381,0.918,2.36,1,2.7,864,7,0.538,1,96,1.42,0,0,0,0
90,2015,Cam Ward\wardca01,30,CAR,51,50,22,24,5,121,1351,1230,0.91,2.4,1,7.4,3026,26,0.52,7,105,-5.69,0,0,0,4
91,2015,Jeff Zatkoff\zatkoje01,27,PIT,1,0,0,1,0,1,17,16,0.941,1.63,0,0.2,37,0,,0,,,0,0,0,0
92,2015,Rob Zepp\zeppro01,33,PHI,10,9,5,2,0,25,223,198,0.888,2.89,0,0.6,519,1,0.111,2,,,0,0,0,0
